wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db
1268.5,-19.054875538917393,-32.14139692805462,-27.20102048663548,-17.797288881145523,-20.4120175304504,-19.41928083921204,-22.712346860863256,-0.2568815094149162
1268.6,-20.81057952702278,-34.084718946042834,-29.052789946899892,-19.906742365571247,-21.43026464719672,-20.596129083215917,-23.765624532185925,-0.17847247213371964
1268.7,-23.15491689525701,-36.62040635987064,-31.498057815731983,-22.60380496029569,-22.64292878007759,-21.967092619329513,-25.00212883924846,-0.11535805500415143
1268.8,-26.576673205804354,-40.23741312096905,-35.02569879780304,-26.377693800965673,-24.11615240969416,-23.598367035265003,-26.481055236031295,-0.0674130106978031
1268.9,-32.68754648094174,-46.547616846718604,-41.247517774717025,-32.84053052138866,-25.961099425694663,-25.60116890629654,-28.29981381422887,-0.0345454353040516
1269.0,-56.588398913015325,-60.0,-60.0,-57.09359578204142,-28.38693589165237,-28.1847166488645,-30.635999590214062,-0.016695909919618685
1269.1,-31.337383024973814,-45.60913494655704,-40.13494650993649,-32.19545816326139,-31.865863631587818,-31.82126419447275,-33.86979334191246,-0.013836974071023132
1269.2,-25.413280250079865,-39.89780829650549,-34.337795832234555,-26.6253154360745,-37.922900348462186,-38.035881194562535,-39.09544076777442,-0.025972919609468015
1269.3,-21.835390069347444,-36.53762698727004,-30.8925316144904,-23.402886392272364,-60.0,-60.0,-54.12575909133434,-0.05313990085129916
1269.4,-19.24830113868664,-34.17343326453717,-28.443946138663012,-21.1731847088831,-37.45576074085475,-37.88399109899809,-42.98292548266368,-0.09540636371534834
1269.5,-17.214030414868233,-32.36751717722329,-26.55428263517525,-19.49866090055755,-31.509912143967995,-32.09591560331394,-35.89747384137734,-0.15287380369139894
1269.6,-15.534730977301773,-30.922326456429033,-25.025944822813283,-18.181913104054498,-28.01390557292509,-28.75785052710753,-32.10397180140946,-0.22567786994641004
1269.7,-14.103959981669135,-29.731736804718786,-23.75276689914825,-17.116958182169114,-25.539244476959585,-26.441351758229832,-29.52555175299272,-0.31398984102043953
1269.8,-12.857798605800264,-28.732174502606572,-22.671135882707354,-16.2403550646884,-23.63313325076579,-24.69367648778107,-27.59127857547757,-0.4180185067284791
1269.9,-11.754827585946718,-27.882594986248705,-21.739969956114752,-15.511183989651887,-22.092970529918663,-23.312276594672948,-26.060581722304722,-0.538012501486751
1270.0,-10.76665944634932,-27.155018566531023,-20.931253976364253,-14.90158282312242,-20.81049611889966,-22.188945664601047,-24.809268111478655,-0.6742631467551842
1270.1,-9.872981472768016,-26.5295774219085,-20.225086281133862,-14.391794596843162,-19.721107039980403,-21.259135132092997,-23.76488679277103,-0.8271078753532914
1270.2,-9.05875340148224,-25.991717936017142,-19.606880859245276,-13.96737034088808,-18.783229694206682,-20.481326537254773,-22.881558837018794,-0.9969343287295135
1270.3,-8.312525200024645,-25.530523878412872,-19.065690381112038,-13.617492715009789,-17.968612786731157,-19.827324549896712,-22.128481560499466,-1.1841852410000488
1270.4,-7.625377207123889,-25.137662846553507,-18.593152505138693,-13.333922861489317,-17.257264834971153,-19.277194579967762,-21.48406211511208,-1.3893642520136937
1270.5,-6.990225245007258,-24.80669876921771,-18.182802258421667,-13.110313283785551,-16.634603105637524,-18.816411820797633,-20.932667916184503,-1.6130428276521709
1270.6,-6.40134954156035,-24.532629542880528,-17.82960956165627,-12.941745826152856,-16.089749703980964,-18.4341574490272,-20.462709622653946,-1.8558685116319886
1270.7,-5.854066162909588,-24.31156879635835,-17.529660892188563,-12.824413752725516,-15.614464514777893,-18.122251681263975,-20.065452999529644,-2.118574792387438
