wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1495.0,-13.554685558981687,-28.572727684893362,-4.835176200996401,-19.85321832690808,-12.108344154147453,-27.12638628005913,-3.388834796162166,-18.406876922073845,-29.08545247047416,-44.10349459638584,-20.365943112488875,-35.383985238400555,-27.639111065639923,-42.6571531915516,-18.919601707654643,-33.93764383356632
1495.1375,-14.01312737365062,-29.262562040817116,-5.047583911697701,-20.297018578864193,-12.246857643597643,-27.49629231076414,-3.2813141816447255,-18.53074884881122,-27.788493661013614,-43.03792832818011,-18.822950199060692,-34.07238486622719,-26.022223930960635,-41.27165859812713,-17.056680469007716,-32.30611513617421
1495.275,-14.496978827490675,-29.98371854083805,-5.279926939293992,-20.766666652641366,-12.408458661165703,-27.89519837451308,-3.1914067729690188,-18.678146486316393,-26.79295485180201,-42.279694565149384,-17.575902963605323,-33.0626426769527,-24.704434685477032,-40.191174398824415,-15.487382797280349,-30.974122510627726
1495.4125,-15.007083271371256,-30.737372287492963,-5.532712127389379,-21.263001143511087,-12.593526925316006,-28.323815941437715,-3.1191557813341286,-18.84944479745584,-26.018730651914815,-41.749019668036524,-16.544359507932935,-32.27464852405464,-23.605174305859563,-39.33546332198127,-14.130803161877685,-29.861092177999392
1495.55,-15.544377419455557,-31.52481980220972,-5.8065117934572905,-21.786954176211452,-12.802516032880316,-28.782958415634475,-3.0646504068820484,-19.045092789636207,-25.415976592393626,-41.39641897514778,-15.678110966395355,-31.658553349149514,-22.67411520581838,-38.654557588572544,-12.936249579820114,-28.916691962574276
1495.6875,-16.109900476721947,-32.34749141359159,-6.10196959162375,-22.339560528493397,-13.035958683903402,-29.273549620773046,-3.0280277988052067,-19.26561873567485,-24.95171315607397,-41.189304092943615,-14.943782270975776,-31.181373207845418,-21.87777136325543,-38.11536230012507,-11.869840478157233,-28.107431415026877
1495.825,-16.70480479180057,-33.206965658798964,-6.419807413155844,-22.92196828015424,-13.294473005450813,-29.796633872449206,-3.009475626806086,-19.51163649380448,-24.60312809723916,-41.10528896423755,-14.31813071859443,-30.820291585592827,-21.1927963108894,-37.694957177887794,-10.907798932244672,-27.40995979924307
1495.9625,-17.330368299131116,-34.104986052294734,-6.760833498394718,-23.53545125155833,-13.578770141364735,-30.353387894528353,-3.009235340628338,-19.783853093791954,-24.353923692639402,-41.12854144580302,-13.784388891903003,-30.55900664506662,-20.602325534873025,-37.376943288036635,-10.032790734136622,-26.807408487300243
1496.1,-17.98800907569894,-35.04348065760732,-7.125951974986523,-24.1814235568949,-13.88966331692208,-30.945134898830457,-3.027606216209662,-20.08307779811804,-24.192188263410294,-41.24765984531868,-13.330131162697876,-30.385602744606253,-20.093842504633432,-37.149314086541814,-9.231785403921016,-26.287256985829394
1496.2375,-18.679302414497563,-36.02458500003331,-7.516174088779906,-24.86145667431566,-14.228078639607599,-31.573361225143355,-3.0649503138899443,-20.4102328994257,-24.10909018545226,-41.45437277098801,-12.945961859734602,-30.291244445270358,-19.657866410562296,-37.003148996098055,-8.494738084844641,-25.840020670380394
1496.375,-19.406000914450036,-37.05066898810542,-7.932631459023645,-25.577299532679024,-14.595067963112045,-32.239736036767425,-3.1216985076856525,-20.766366581341032,-24.098043463414385,-41.742711537069766,-12.624674007987993,-30.269342081643373,-19.287110512076392,-36.93177858573178,-7.813741056649999,-25.45840913030538
1496.5125,-20.170058211317468,-38.124368677864354,-8.376591772876475,-26.330902239423356,-14.991824225589681,-32.94613469213657,-3.198357787148685,-21.152668253695566,-24.154157779281817,-42.108468245828696,-12.36069134084082,-30.315001807387702,-18.975923793554024,-36.9302342601009,-7.182457355113031,-25.136767821659912
1496.65,-20.973657135038867,-39.24862392836702,-8.849477441680575,-27.124444235008728,-15.419699781125509,-33.694666574453656,-3.29552008776722,-21.57048688109537,-24.273867963381406,-42.54883475670955,-12.149688270023116,-30.424655063351267,-18.719910609468048,-36.9948774027962,-6.59573091610976,-24.87069770943791
1496.7875,-21.81924328843146,-40.42672327603894,-9.35288788124405,-27.960367868851534,-15.880228383566948,-34.48770837117443,-3.413872976379539,-22.02135296398702,-24.454681385323717,-43.0621613729312,-11.988325978136308,-30.595805965743793,-18.515666480459206,-37.123146468066686,-6.049311073271797,-24.65679106087928
1496.925,-22.709565317476116,-41.662357722423344,-9.888626262024545,-28.841418666971773,-16.375151665876775,-35.327944070824,-3.5542126104252016,-22.507005015372428,-24.695006084224616,-43.64779848917184,-11.874067028773045,-30.826859433720273,-18.360592432625275,-37.3133848375725,-5.539653377173702,-24.49244578212093
1497.0625,-23.64772350866677,-42.95968561677715,-10.458731818717359,-29.770693926827747,-16.90645120208988,-36.21841331020026,-3.7174595121404734,-23.029421620250858,-24.99403668872577,-44.30599879683616,-11.805044998776363,-31.11700710688675,-18.252764382148882,-37.56472649025927,-5.063772692199477,-24.37573480030986
1497.2,-24.6372288388779,-44.323411468173845,-11.065519135492519,-30.751701764788457,-17.47638756596961,-37.16257019526555,-3.904677862584229,-23.590860491880168,-25.35168390420312,-45.03786653349906,-11.77997420081774,-31.466156830113682,-18.19084263129483,-37.87702526059077,-4.61913292790945,-24.30531555720539
