wavelength_nm,port_1_db,port_2_db,port_3_db,port_4_db,port_5_db,port_6_db,port_7_db,port_8_db,port_9_db,port_10_db,port_11_db,port_12_db,port_13_db,port_14_db,port_15_db,port_16_db
1495.0,-13.443409401235957,-24.5466890030738,-18.594300239697393,-23.652500398589027,-20.64678642769174,-22.6929502169559,-6.28913953492225,-24.907256629740978,-17.940759917182483,-23.773892239153355,-14.63108970748361,-24.428057765872143,-22.44372071479447,-21.054390100905913,-2.5796127668526676,-25.03027302802215
1495.1375,-13.544740176920559,-24.801285500571566,-18.90629012071043,-23.872402219120957,-20.83888106942161,-22.96595439558341,-6.8544440352169715,-25.138937601591714,-18.10529802743059,-24.03578753814483,-14.993079861500284,-24.656700794330582,-22.65216088836743,-21.342410978222325,-2.30012210618196,-25.291350293152846
1495.275,-13.697473769836995,-25.109619574763897,-19.27142718311184,-24.14596968212775,-21.0844061127491,-23.292555415572814,-7.461833706157562,-25.424755619069067,-18.322859442949998,-24.3513398535741,-15.407138246789057,-24.939063949034015,-22.914189798131556,-21.68389701496512,-2.041046733173662,-25.608239316217936
1495.4125,-13.905317226653736,-25.475484106638913,-19.69351353519914,-24.476991763996377,-21.38714648908247,-23.676545596952984,-8.115917568416348,-25.76845668128705,-18.597218726518072,-24.724340307087076,-15.87710424748555,-25.27893594967521,-23.233595338121948,-22.08264295709745,-1.8016061841827071,-25.98518408549506
1495.55,-14.17307056308058,-25.903769440617538,-20.17744830040852,-24.87035475444379,-21.751984344553428,-24.122814549662863,-8.822319234082293,-26.17488999514862,-18.933247300806453,-25.15967732063951,-16.407912543752772,-25.681202886966076,-23.61526269009029,-22.5435407879593,-1.581110238841342,-26.427666660374815
1495.6875,-14.506935354717696,-26.40077229818333,-20.729536528235908,-25.33235115628585,-22.18520793721222,-24.637658074429297,-9.587996591109318,-26.650315924403284,-19.337222330084128,-25.663645516569137,-17.00590212219977,-26.152157119069336,-24.06548322292959,-23.07288863072193,-1.3789483440031605,-26.942775271546687
1495.825,-14.914962719811006,-26.97464411284478,-21.35793752458031,-25.87112800508697,-22.694959953991845,-25.229226483502345,-10.421699205840483,-27.202853537163957,-19.817275020862212,-26.24439403751268,-17.679264698803692,-26.699945588202937,-24.592402811956187,-23.678839070651378,-1.1945807764524634,-27.539744469680606
1495.9625,-15.407718355770882,-27.63605645156059,-22.073330266470357,-26.49735227363143,-23.291902912379243,-25.908190006187816,-11.334641420966207,-27.843145378893375,-20.384056006366155,-26.91259195110478,-18.43871021985524,-27.335235222329764,-25.206687242987282,-24.372064562119395,-1.0275312344976182,-28.230768095245246
1496.1,-15.999299297620809,-28.39921819451873,-22.88993057287021,-27.225228032884523,-23.990236318456205,-26.68875595084934,-12.34152606809664,-28.585374113533696,-21.05175248644057,-27.682445411128555,-19.298484113135878,-28.07223009357805,-25.92253937288181,-25.166774592037555,-0.8773806139500964,-29.032263661926784
1496.2375,-16.708947173071003,-29.283489252173744,-23.8271048102336,-28.074110148095247,-24.809310359959312,-27.59028240203119,-13.462163771126608,-29.448875789073572,-21.839701901476296,-28.573311353767117,-20.277981068457052,-28.930285112022528,-26.759312825199373,-26.082329378368815,-0.743761774486465,-29.966921438901302
1496.375,-17.563729124949003,-30.31606199507124,-24.91205130806028,-29.071185685274905,-25.77630730958765,-28.639959627936037,-14.724159174412467,-30.46082088540199,-22.775073315523876,-29.612378904187477,-21.404426523236037,-29.936587430040742,-27.744193396207983,-27.145921278950404,-0.6263551417247621,-31.067200842076502
1496.5125,-18.60325985994518,-31.536683860893667,-26.18452294856802,-30.25619649214299,-26.930964102645305,-29.877532662352685,-16.16763768834614,-31.660936594920557,-23.897589972608966,-30.839391957548933,-22.717599317607082,-31.13087902131984,-28.916921635334152,-28.397297374726907,-0.5248850213167462,-32.381699617160734
1496.65,-19.88866393533349,-33.00662025664039,-27.70579004801165,-31.690402071056102,-28.334535206528976,-31.364264178549032,-17.85421197445236,-33.11046944268042,-25.268492143685158,-32.31561205194788,-24.278794636947843,-32.57441955201295,-30.338755717569434,-29.897722344909177,-0.43911652600273443,-33.98778879333311
1496.7875,-21.521361201866746,-34.82744068130931,-29.577426454567565,-33.47536566882248,-30.088578706958856,-33.20172058003284,-19.88577118059441,-34.91097116240317,-26.98932318904199,-34.142604458199514,-26.18961016705832,-34.368772468934445,-32.111257532738016,-31.748764558965195,-0.3688530363925654,-36.01975742101586
1496.925,-23.688315685588176,-37.186268360071544,-31.98655915324897,-35.798203873848784,-32.38020590139216,-35.577021598629706,-22.449733287313855,-37.24954811200201,-29.247179126518045,-36.507487776900774,-28.63719575275057,-36.70105459522786,-34.421542282066795,-34.137545675890195,-0.3139341323750133,-38.74298751951309
