wavelength_nm,transmission_db
1540.0,-13.397348671102215
1540.05,-13.399651747188381
1540.1,-13.406416011989638
1540.15,-13.417688595936415
1540.2,-13.433522384541403
1540.25,-13.453976268935829
1540.3,-13.479115428798444
1540.35,-13.509011650566656
1540.4,-13.543743684260996
1540.45,-13.583397642752972
1540.5,-13.628067447883614
1540.55,-13.67785532849944
1540.6,-13.732872376238829
1540.65,-13.793239165795942
1540.7,-13.859086447415983
1540.75,-13.930555920597506
1540.8,-14.007801099395902
1540.85,-14.090988281404776
1540.9,-14.180297634488088
1540.95,-14.275924417677583
1541.0,-14.378080355515664
1541.05,-14.486995188454355
1541.1,-14.602918426038677
1541.15,-14.726121334508468
1541.2,-14.856899196443438
1541.25,-14.995573887394738
1541.3,-15.142496823407631
1541.35,-15.298052344445352
1541.4,-15.462661612461307
1541.45,-15.636787120050748
1541.5,-15.82093792723338
1541.55,-16.015675771241
1541.6,-16.2216222290277
1541.65,-16.43946715703224
1541.7,-16.669978690668977
1541.75,-16.914015161802304
1541.8,-17.17253939233871
1541.85,-17.446635955159636
1541.9,-17.737532172702007
1541.95,-18.046623867504422
1542.0,-18.3755072154871
1542.05,-18.726018523157567
1542.1,-19.10028441738397
1542.15,-19.50078589897065
1542.2,-19.93044112428199
1542.25,-20.392713894800337
1542.3,-20.8917580715651
1542.35,-21.432613207050352
1542.4,-22.021474865611093
1542.45,-22.66607669786936
1542.5,-23.376244745111162
1542.55,-24.164726450060204
1542.6,-25.048475895358848
1542.65,-26.05073424323315
1542.7,-27.204580253389334
1542.75,-28.55940577264848
1542.8,-30.193789035563732
1542.85,-32.244264841281534
1542.9,-34.9815391768074
1542.95,-39.076842886605924
1543.0,-47.278511282109996
1543.05,-51.82031449395312
1543.1,-40.401751100227976
1543.15,-35.585571279575696
1543.2,-32.47238618753332
1543.25,-30.16050217558178
1543.3,-28.316648996952086
1543.35,-26.78026146705452
1543.4,-25.461549226900793
1543.45,-24.30518095583576
1543.5,-23.274634463230605
1543.55,-22.344532070420826
1543.6,-21.4965216376917
1543.65,-20.716900617673662
1543.7,-19.99516667980911
1543.75,-19.32309249374224
1543.8,-18.694112463962323
1543.85,-18.102903135042183
1543.9,-17.545088213362135
1543.95,-17.017026272255297
1544.0,-16.51565479885481
1544.05,-16.03837354012524
1544.1,-15.582955832189331
1544.15,-15.147480225045982
1544.2,-14.730277071375912
1544.25,-14.329886313692906
1544.3,-13.945023765389532
1544.35,-13.574553913714865
1544.4,-13.217467787163022
1544.45,-12.87286479601372
1544.5,-12.539937719707678
1544.55,-12.217960208493256
1544.6,-11.906276310369657
1544.65,-11.604291641789
1544.7,-11.3114659019077
1544.75,-11.027306492247753
1544.8,-10.751363051510928
1544.85,-10.483222752363412
1544.9,-10.222506236138695
1544.95,-9.968864084395506
1545.0,-9.721973744385322
1545.05,-9.48153684012998
1545.1,-9.247276812469257
1545.15,-9.018936840931847
1545.2,-8.796278007988963
1545.25,-8.579077672495934
1545.3,-8.367128024393804
1545.35,-8.160234796936237
1545.4,-7.95821611625262
1545.45,-7.760901471087886
1545.5,-7.568130787900707
1545.55,-7.379753598696333
1545.6,-7.195628290627002
1545.65,-7.015621427911835
1545.7,-6.839607137879184
1545.75,-6.667466553967901
1545.8,-6.49908730948459
1545.85,-6.3343630766593115
1545.9,-6.173193146217061
1545.95,-6.015482043273445
1546.0,-5.861139175846606
1546.05,-5.710078512737265
1546.1,-5.562218287850015
1546.15,-5.417480728435427
1546.2,-5.275791804936728
1546.25,-5.137081000432641
