wavelength_nm,transmission_db
1540.0,-13.66934602163284
1540.05,-13.739388331229165
1540.1,-13.807095233957607
1540.15,-13.872335336197544
1540.2,-13.934977532605323
1540.25,-13.994891652346988
1540.3,-14.051949147275407
1540.35,-14.106023817058706
1540.4,-14.15699256507911
1540.45,-14.204736177755601
1540.5,-14.249140118830987
1540.55,-14.290095329148544
1540.6,-14.327499021565075
1540.65,-14.361255459955341
1540.7,-14.39127671078971
1540.75,-14.417483355557291
1540.8,-14.43980515238194
1540.85,-14.458181635561605
1540.9,-14.472562642459765
1540.95,-14.482908758182022
1541.0,-14.489191669771655
1541.05,-14.49139442320994
1541.1,-14.489511578284795
1541.15,-14.483549258322412
1541.2,-14.473525093811602
1541.25,-14.459468061016484
1541.3,-14.44141821870392
1541.35,-14.419426348035252
1541.4,-14.393553502438635
1541.45,-14.3638704758137
1541.5,-14.330457198706448
1541.55,-14.293402073076503
1541.6,-14.252801256960195
1541.65,-14.20875791069484
1541.7,-14.161381416426496
1541.75,-14.110786582399115
1541.8,-14.057092843036118
1541.85,-14.000423465115935
1541.9,-13.94090476946279
1541.95,-13.878665376544273
1542.0,-13.813835483253587
1542.05,-13.74654617698399
1542.1,-13.676928791927605
1542.15,-13.605114311361495
1542.2,-13.531232818582941
1542.25,-13.455412998114928
1542.3,-13.377781687860036
1542.35,-13.298463482042443
1542.4,-13.217580384033624
1542.45,-13.13525150756017
1542.5,-13.051592824256662
1542.55,-12.966716955149376
1542.6,-12.88073300334123
1542.65,-12.793746424957213
1542.7,-12.705858935297163
1542.75,-12.617168447052885
1542.8,-12.527769037489039
1542.85,-12.437750941510837
1542.9,-12.347200567654443
1542.95,-12.256200534154951
1543.0,-12.164829722401135
1543.05,-12.07316334526946
1543.1,-11.981273027980553
1543.15,-11.889226899348138
1543.2,-11.797089691438693
1543.25,-11.704922845878645
1543.3,-11.61278462520161
1543.35,-11.520730227826705
1543.4,-11.428811905398206
1543.45,-11.337079081388628
1543.5,-11.245578470006109
1543.55,-11.154354194577934
1543.6,-11.063447904711836
1543.65,-10.972898891628475
1543.7,-10.882744201183968
1543.75,-10.793018744167917
1543.8,-10.703755403557842
1543.85,-10.614985138471404
1543.9,-10.526737084626989
1543.95,-10.439038651176478
1544.0,-10.351915613810316
1544.05,-10.265392204097834
1544.1,-10.179491195038876
1544.15,-10.09423398284514
1544.2,-10.009640664986678
1544.25,-9.925730114568603
1544.3,-9.84252005111262
1544.35,-9.760027107829542
1544.4,-9.678266895492008
1544.45,-9.597254063011256
1544.5,-9.517002354832687
1544.55,-9.437524665274845
1544.6,-9.358833089929579
1544.65,-9.280938974248706
1544.7,-9.203852959443523
1544.75,-9.12758502581036
1544.8,-9.052144533619396
1544.85,-8.977540261671642
1544.9,-8.903780443643972
1544.95,-8.830872802341517
1545.0,-8.7588245819582
1545.05,-8.687642578455693
1545.1,-8.617333168162544
1545.15,-8.547902334690363
1545.2,-8.479355694260494
1545.25,-8.411698519530269
1545.3,-8.344935762005774
1545.35,-8.279072073123055
1545.4,-8.214111824070848
1545.45,-8.15005912443408
1545.5,-8.086917839723819
1545.55,-8.024691607861495
1545.6,-7.9633838546794875
1545.65,-7.902997808497273
1545.7,-7.843536513829541
1545.75,-7.78500284427685
1545.8,-7.727399514650989
1545.85,-7.670729092381231
1545.9,-7.614994008245764
1545.95,-7.56019656646703
1546.0,-7.506338954214558
1546.05,-7.453423250548243
1546.1,-7.4014514348390525
1546.15,-7.350425394697587
1546.2,-7.300346933441969
1546.25,-7.251217777133732
1546.3,-7.20303958120645
1546.35,-7.155813936714903
1546.4,-7.109542376227398
1546.45,-7.064226379382198
1546.5,-7.019867378127139
1546.55,-6.976466761666939
1546.6,-6.934025881132332
1546.65,-6.892546053984966
1546.7,-6.852028568182824
1546.75,-6.812474686109647
1546.8,-6.773885648291996
1546.85,-6.736262676908813
1546.9,-6.699606979111828
1546.95,-6.6639197501632195
1547.0,-6.629202176401484
1547.05,-6.595455438049079
1547.1,-6.562680711864308
1547.15,-6.53087917365195
1547.2,-6.500052000634959
1547.25,-6.470200373697973
1547.3,-6.441325479507636
1547.35,-6.4134285125149475
1547.4,-6.386510676846944
1547.45,-6.360573188091207
1547.5,-6.335617274977954
1547.55,-6.3116441809644686
1547.6,-6.288655165725235
1547.65,-6.266651506550155
1547.7,-6.245634499656005
1547.75,-6.225605461410767
1547.8,-6.206565729475365
1547.85,-6.188516663864087
1547.9,-6.171459647923967
1547.95,-6.155396089236436
1548.0,-6.140327420440111
1548.05,-6.1262550999763
1548.1,-6.113180612757631
1548.15,-6.101105470759077
1548.2,-6.0900312135315025
1548.25,-6.079959408636232
1548.3,-6.07089165200097
1548.35,-6.062829568194461
1548.4,-6.05577481061887
1548.45,-6.04972906161767
1548.5,-6.044694032496778
1548.55,-6.040671463456462
1548.6,-6.037663123430445
1548.65,-6.035670809829565
1548.7,-6.034696348185489
1548.75,-6.0347415916908105
1548.8,-6.035808420630766
1548.85,-6.03789874170158
1548.9,-6.041014487209964
1548.95,-6.04515761414793
1549.0,-6.0503301031365675
1549.05,-6.056533957231579
1549.1,-6.063771200583346
1549.15,-6.072043876943609
1549.2,-6.081354048009947
